FanGraph ID,Player,CBLCard,CBLPos,CBL5Percent,,
20185,"Pop, Zach",TOA,RP,50 2/3,,
19200,"Quijada, Jose",LAA,RP,20    ,,
17610,"Rainey, Tanner",WAN,RP,53 1/3,,
17304,"Ramirez, Emmanuel",MMN,RP,21 2/3,,
10314,"Ramirez, Erasmo",TBA,RP,21 2/3,,
19444,"Ramirez, Yohan",BOA,RP,47    ,,
17034,"Reid-Foley, Sean",NYN,RP,22 2/3,,
24930,"Roberts, Ethan",CHN,RP,28    ,,
21955,"Rodriguez, Yerry",TOA,RP,22 2/3,,
20009,"Rosenberg, Kenny",LAA,RP/SP,25    ,,
31261,"Roycroft, Chris",SLN,RP,36    ,,
19891,"Ryan, Ryder",PIN,RP,21 2/3,,
24978,"Sabrowski, Erik",CLA,RP,13    ,,
23135,"Salazar, Eduardo",WAN,RP,30 2/3,,
20462,"Sammons, Bryan",DEA,RP,28 2/3,,
19926,"Santillan, Tony",CIN,RP/SP,31 1/3,,
17888,"Saucedo, Tayler",SEA,RP,40 1/3,,
18323,"Sborz, Josh",TEA,RP,17    ,,
13892,"Sewald, Paul",ARN,RP,41 1/3,,
13470,"Sims, Lucas",BOA,RP,51 2/3,,
12784,"Smith, Burch",BAA,RP,59    ,,
17755,"Smith, Drew",NYN,RP,18 1/3,,
8048,"Smith, Will",KCA,RP,43 1/3,,
11760,"Smyly, Drew",CHN,RP,61 1/3,,
21863,"Soriano, George",MMN,RP,30 2/3,,
19677,"Soto, Gregory",BAA,RP,55 1/3,,
17170,"Speier, Gabe",SEA,RP,24 2/3,,
18335,"Staumont, Josh",MNA,RP,25 1/3,,
13761,"Stratton, Chris",KCA,RP,61    ,,
23455,"Stratton, Hunter",PIN,RP,39 1/3,,
19911,"Suarez, Jose",LAA,RP/SP,54 2/3,,
16587,"Swanson, Erik",TOA,RP,41    ,,
17796,"Tate, Dillon",TOA,RP,38 1/3,,
31883,"Taylor, Troy",SEA,RP,20    ,,
10078,"Thielbar, Caleb",MNA,RP,49 2/3,,
19795,"Thompson, Keegan",CHN,RP,31 2/3,,
16929,"Toussaint, Touki",CHA,RP,24    ,,
24737,"Varland, Gus",CHA,RP,27 1/3,,
14510,"Vieira, Thyago",ARN,RP,39 2/3,,
33834,"Walters, Andrew",CLA,RP/SP,9    ,,
13190,"Weems, Jordan",WAN,RP,43 2/3,,
19225,"White, Mitch",MLN,RP,24 2/3,,
4301,"Wilson, Justin",CIN,RP,49    ,,
20353,"Wilson, Steven",CHA,RP,36 1/3,,
18439,"Young, Danny",NYN,RP,39 1/3,,
